topic,area,resource,version,Status,cmdlet,Notes
Access management,Federation,GET /authorize/saml2/login,1,Future,,
Access management,Federation,GET /authorize/saml2/logout,1,Future,,
Access management,Federation,GET /authorize/oidc/login,1,Future,,
Access management,Federation,GET /authorize/social/login,1,Future,,
Access management,OAuth2,POST /authorize/oauth2/token,2,Supported,"Get-Headers, Get-TokenFromJWT",
Access management,OAuth2,GET /authorize/oauth2/authorize,2,Future,,
Access management,OAuth2,POST /authorize/oauth2/revoke,2,Future,,
Access management,OAuth2,GET /authorize/oauth2/userinfo,2,Supported,Get-UserInfo,
Access management,OAuth2,POST /authorize/oauth2/introspect,3,Supported,Get-Introspect,
Access management,OAuth2,GET /authorize/oauth2/refreshsession,2,Future,,
Access management,OAuth2,GET /authorize/oauth2/endsession,2,Future,,
Access management,OAuth2,POST /authorize/oauth2/introspect,3,Supported,Get-Introspect,
Access management,Token,PUT /security/authentication/token/status ,1,Future,,
Identity management,Application,POST /authorize/identity/Application,1,Supported,Add-Application,
Identity management,Application,GET /authorize/identity/Application,1,Supported,Get-Application,"Still need to implement by name, positionId and globalReferenceId"
Identity management,Client,POST /authorize/identity/Client,1,Future,,
Identity management,Client,GET /authorize/identity/Client,1,Future,,
Identity management,Client,DELETE /authorize/identity/Client/{id},1,Future,,
Identity management,Client,PUT /authorize/identity/Client/{id}/$scopes,1,Future,,
Identity management,Client,PUT /authorize/identity/Client/{id},1,Future,,
Identity management,Device,POST /authorize/identity/Device,1,Future,,
Identity management,Device,GET /authorize/identity/Device,1,Future,,
Identity management,Device,PUT /authorize/identity/Device,1,Future,,
Identity management,Device,DELETE /authorize/identity/Device/deviceid,1,Future,,
Identity management,Device,POST /authorize/identity/Device/{id}/$change-password,1,Future,,
Identity management,Group,POST /authorize/identity/Group,1,Supported,Add-Group,
Identity management,Group,GET /authorize/identity/Group,1,Supported,Get-Groups,
Identity management,Group,PUT /authorize/identity/Group/{groupId},1,Future,,
Identity management,Group,DELETE /authorize/identity/Group/{groupId},1,Supported,Remove-Group,
Identity management,Group,GET /authorize/identity/Group/{groupId},1,Supported,Get-Group,
Identity management,Group,POST /authorize/identity/Group/groupID/$remove,1,Supported,Remove-GroupIdentity,
Identity management,Group,POST /authorize/identity/Group/{groupId}/$add-members,1,Supported,Set-GroupMember,
Identity management,Group,POST /authorize/identity/Group/{groupId}/$remove-members,1,Future,,
Identity management,Group,POST /authorize/identity/Group/{groupId}/$assign-role,1,Supported,Set-GroupRole,
Identity management,Group,POST /authorize/identity/Group/{groupId}/$remove-role,1,Supported,Clear-GroupRole,
Identity management,Group,POST /authorize/identity/Group/{groupID}/$assign,1,Supported,Set-GroupIdentity,
Identity management,Organization,GET /authorize/identity/Organization,1,No Support,,
Identity management,Organization,POST /authorize/identity/Organization/{id}/$mfa,1,No Support,,
Identity management,Organization,POST /authorize/scim/v2/Organizations,2,Supported,Add-Org,
Identity management,Organization,PUT /authorize/scim/v2/Organizations/{id},2,Supported,Set-Org,
Identity management,Organization,GET /authorize/scim/v2/Organizations/{id},2,Supported,Get-Org,
Identity management,Organization,GET /authorize/scim/v2/Organizations,2,Supported,Get-Orgs,
Identity management,Organization,POST /authorize/scim/v2/MFAPolicies,2,Supported,Add-MFAPolicy,
Identity management,Organization,PUT /authorize/scim/v2/MFAPolicies/{id},2,Supported,Set-MFAPolicy,
Identity management,Organization,GET /authorize/scim/v2/MFAPolicies/{id},2,Supported,Get-MFAPolicy,
Identity management,Organization,DELETE /authorize/scim/v2/MFAPolicies/{id},2,Supported,Remove-MFAPolicy,
Identity management,Organization,POST /authorize/scim/v2/Organizations/{id}/status,2,Supported,Set-Org,
Identity management,Proposition,POST /authorize/identity/Proposition,1,Supported,Add-Proposition,
Identity management,Proposition,GET /authorize/identity/Proposition,1,Supported,Get-Proposition,
Identity management,Role and Permission,POST /authorize/identity/Role,1,Supported,Add-Role,
Identity management,Role and Permission,GET /authorize/identity/Role,1,Supported,Get-Roles,
Identity management,Role and Permission,GET /authorize/identity/Role/{roleId},1,Supported,Get-Role,
Identity management,Role and Permission,POST /authorize/identity/Role/{roleId}/$assign-permission,1,Supported,Add-Permissions,
Identity management,Role and Permission,POST /authorize/identity/Role/{roleId}/$remove-permission,1,Supported,Remove-Permissions,
Identity management,Role and Permission,GET /authorize/identity/Permission,1,Supported,Get-Permissions,
Identity management,Service,POST /authorize/identity/Service,1,Supported,Add-Service,
Identity management,Service,GET /authorize/identity/Service,1,Supported,Get-Service,
Identity management,Service,DELETE /authorize/identity/Service/{id},1,Supported,Remove-Service,
Identity management,Service,PUT /authorize/identity/Service/{id}/$scopes,1,Future,,
Identity management,User,POST /authorize/identity/User/$set-password,1,No Support,,
Identity management,User,POST /authorize/identity/User/$set-password,2,Future,,
Identity management,User,POST /authorize/identity/User/$change-password,1,Future,,
Identity management,User,POST /authorize/identity/User,1,No Support,,
Identity management,User,POST /authorize/identity/User,2,Supported,Add-User,
Identity management,User,POST /authorize/identity/User/$resend-activation,1,No Support,,
Identity management,User,POST /authorize/identity/User/$resend-activation,2,Future,,
